name,race,gender
Abrahao Farc,White_Caucasian,male
Ada Chaseliov,White_Caucasian,female
Adelio Lima,Latino_Hispanic,male
Adilson Magha,White_Caucasian,male
Adriana Alves,Black_African_descent,female
Adriana Birolli,White_Caucasian,female
Adriana Esteves,White_Caucasian,female
Adriana Garambone,White_Caucasian,female
Adriana Lessa,Black_African_descent,female
Adriana Tolentino,White_Caucasian,female
Adriane Galisteu,White_Caucasian,female
Adriano Bolshi,Latino_Hispanic,male
Adriano Garib,White_Caucasian,male
Adriano Reys,White_Caucasian,male
Adriano Toloza,White_Caucasian,male
Agles Steib,White_Caucasian,female
Aimee Ubacker,Black_African_descent,female
Aisha Jambo,Black_African_descent,female
Alana Cabral,Latino_Hispanic,female
Alby Ramos,White_Caucasian,male
Alejandro Claveaux,White_Caucasian,male
Alessandra Ambrosio,White_Caucasian,female
Alessandra Maestrini,White_Caucasian,female
Alessandra Negrini,White_Caucasian,female
Alessandro Moussa,Latino_Hispanic,male
Alessandro Tcche,Latino_Hispanic,male
Alex Brasil,East_Indian,male
Alex Patricio,Latino_Hispanic,female
Alexander Sil,Black_African_descent,male
Alexandra Martins,Black_African_descent,male
Alexandra Richter,White_Caucasian,female
Alexandre Barbalho,Latino_Hispanic,female
Alexandre Barillari,White_Caucasian,male
Alexandre Barros,White_Caucasian,male
Alexandre Borges,White_Caucasian,male
Alexandre Cioletti,White_Caucasian,male
Alexandre Damascena,Asian,male
Alexandre David,Latino_Hispanic,male
Alexandre Lemos,White_Caucasian,male
Alexandre Liuzzi,White_Caucasian,male
Alexandre Moreno,White_Caucasian,male
Alexandre Nero,White_Caucasian,male
Alexandre Rodrigues,Black_African_descent,male
Alexandre Schumacher,Latino_Hispanic,male
Alexandre Slavieiro,White_Caucasian,male
Alexandre Slaviero,White_Caucasian,male
Alexandro Malvao,Latino_Hispanic,male
Alfredo Castro,White_Caucasian,male
Alice Assef,Latino_Hispanic,female
Alice Borges,White_Caucasian,female
Alice Coelho,White_Caucasian,female
Alice Morena,Latino_Hispanic,male
Alice Sigmaringa,Black_African_descent,female
Alice Wegmann,White_Caucasian,female
Aline Aguiar,White_Caucasian,female
Aline Borges,Latino_Hispanic,female
Aline Dias,Latino_Hispanic,female
Aline Fanju,White_Caucasian,female
Aline Peixoto,White_Caucasian,female
Aline Xavier,Latino_Hispanic,female
Alinne Moraes,Latino_Hispanic,female
Aloisio de Abreu,Latino_Hispanic,male
Amanda Azevedo,Black_African_descent,female
Amanda de Godoi,White_Caucasian,female
Amanda Mirasci,White_Caucasian,female
Amanda Richter,Latino_Hispanic,female
Amandha Lee,Latino_Hispanic,female
Amauri Reis,White_Caucasian,male
Amir Haddad,White_Caucasian,male
Ana Barroso,White_Caucasian,female
Ana Beatriz Cisneiros,Latino_Hispanic,female
Ana Beatriz Nogueira,White_Caucasian,female
Ana Botafogo,White_Caucasian,female
Ana Carbatti,Latino_Hispanic,female
Ana Carolina Dias,Latino_Hispanic,female
Ana Carolina Godoy,White_Caucasian,female
Ana Cecilia Costa,Latino_Hispanic,female
Ana Clara Couto,Black_African_descent,female
Ana Flavia Cavalcanti,Latino_Hispanic,female
Ana Flavia Cavalcanti,Latino_Hispanic,female
Ana Furtado,White_Caucasian,female
Ana Giulia Zortea,White_Caucasian,female
Ana Isabela Godinho,Latino_Hispanic,female
Ana Karolina Lannes,Latino_Hispanic,female
Ana Kutner,White_Caucasian,female
Ana Lima,Asian,female
Ana Luiza Garritano,Latino_Hispanic,female
Ana Lucia Torre,Latino_Hispanic,female
Ana Miranda,Black_African_descent,female
Ana Paula Arosio,White_Caucasian,female
Ana Paula Botelho,Latino_Hispanic,female
Ana Paula Bouzas,Latino_Hispanic,female
Ana Paula Lopes,Latino_Hispanic,female
Ana Paula Novellino,White_Caucasian,female
Ana Petta,White_Caucasian,female
Ana Rios,White_Caucasian,female
Ana Rosa,Latino_Hispanic,female
Ana Terra Blanco,Latino_Hispanic,female
Anaju Dorigon,White_Caucasian,female
Analu Prestes,Asian,female
Ananda Ismail,White_Caucasian,female
Anderson Di Rizzi,Latino_Hispanic,male
Anderson Lau,Asian,male
Anderson Muller,White_Caucasian,male
Anderson Tomazini,East_Indian,male
Andrea Dantas,Latino_Hispanic,female
Andreia Horta,White_Caucasian,female
Andrew Vieira,Black_African_descent,male
Andre Abujamra,White_Caucasian,male
Andre Arteche,White_Caucasian,male
Andre Bankoff,White_Caucasian,male
Andre Barros,White_Caucasian,male
Andre Bicudo,White_Caucasian,male
Andre Cidade,White_Caucasian,male
Andre Dias,White_Caucasian,male
Andre Frateschi,White_Caucasian,male
Andre Garolli,White_Caucasian,male
Andre Goncalves,White_Caucasian,male
Andre Junqueira,White_Caucasian,male
Andre Loddi,White_Caucasian,male
Andre Luiz Frambach,White_Caucasian,male
Andre Luiz Miranda,Black_African_descent,female
Andre Mattos,Latino_Hispanic,male
Andre Rebustini,White_Caucasian,male
Andre Valli,White_Caucasian,male
Andrea Avancini,Latino_Hispanic,female
Andrea Bassit,Latino_Hispanic,female
Andrea Beltrao,Latino_Hispanic,male
Andrea Dantas,White_Caucasian,female
Andrea Leal,White_Caucasian,female
Andy Gercker,White_Caucasian,male
Angela Rebello,White_Caucasian,female
Angelina Muniz,Latino_Hispanic,female
Angelita Feijo,White_Caucasian,female
Aninha Lima,Latino_Hispanic,female
Anja Bittencourt,Latino_Hispanic,female
Anna Cotrim,White_Caucasian,female
Anna Rita Cerqueira,Latino_Hispanic,female
Anna Sophia Folch,Latino_Hispanic,female
Anselmo Vasconcelos,Latino_Hispanic,male
Anthero Montenegro,White_Caucasian,male
Antonio Calloni,White_Caucasian,male
Antonio Pitanga,Latino_Hispanic,female
Antonia Fontenelle,Latino_Hispanic,female
Antonia Frering,Latino_Hispanic,female
Antonia Morais,Latino_Hispanic,female
Antonio Calloni,White_Caucasian,male
Antonio Carlos Bernardes,Latino_Hispanic,male
Antonio Carlos Feio,Latino_Hispanic,male
Antonio Carlos,Latino_Hispanic,male
Antonio Fagundes,White_Caucasian,male
Antonio Firmino,Black_African_descent,male
Antonio Fragoso,White_Caucasian,male
Antonio Fabio,White_Caucasian,male
Antonio Grassi,Latino_Hispanic,male
Antonio Karnewale,White_Caucasian,male
Antonio Petrin,White_Caucasian,male
Antonio Pitanga,Black_African_descent,male
Aparecida Petrowky,Black_African_descent,female
Apolo Sardinha,East_Indian,male
Araci Esteves,White_Caucasian,female
Aracy Balabanian,Latino_Hispanic,female
Aramis Trindade,White_Caucasian,male
Arianne Botelho,White_Caucasian,male
Ariela Massoti,White_Caucasian,female
Ariela Massotti,White_Caucasian,female
Arieta Correa,Latino_Hispanic,female
Arilson Lopes,White_Caucasian,male
Arlete Heringer,Latino_Hispanic,female
Arlete Montenegro,White_Caucasian,female
Arlete Sales,Latino_Hispanic,female
Arlete Salles,Latino_Hispanic,female
Arlindo Lopes,Latino_Hispanic,male
Armando Babaioff,Latino_Hispanic,male
Arthur Aguiar,White_Caucasian,male
Arthur Lopes,White_Caucasian,male
Arthur Sales,White_Caucasian,male
Ary Fontoura,White_Caucasian,male
Ary Franca,White_Caucasian,male
Atriz infantil,Asian,female
Augusto Breton,Latino_Hispanic,male
Ayumi Irie,Latino_Hispanic,male
Ailton Graca,Black_African_descent,male
Babi Xavier,White_Caucasian,female
Barbara Franca,Latino_Hispanic,female
Bartolomeu Guerrero,Latino_Hispanic,female
Beatriz Campos,Latino_Hispanic,female
Beatriz Lyra,White_Caucasian,female
Beatriz Segall,White_Caucasian,female
Beatriz Tragtenberg,Latino_Hispanic,female
Bege Muniz,Latino_Hispanic,male
Bel Kowarick,White_Caucasian,female
Bel Kutner,Latino_Hispanic,female
Bel Wilker,White_Caucasian,female
Bella Piero,Latino_Hispanic,female
Bento Ribeiro,Latino_Hispanic,male
Bernadete Araujo,White_Caucasian,female
Bernadeth Lyzio,White_Caucasian,male
Bernardo Berruezo,White_Caucasian,male
Bernardo Castro Alves,White_Caucasian,male
Bernardo Marinho,White_Caucasian,male
Bernardo Simoes,Latino_Hispanic,male
Berta Loran,Latino_Hispanic,female
Bete Coelho,Latino_Hispanic,female
Bete Mendes,Latino_Hispanic,female
Beth Goulart,Latino_Hispanic,female
Beth Lamas,Latino_Hispanic,female
Beth Zalcman,White_Caucasian,female
Betito Tavares,Latino_Hispanic,female
Beto Vandesteen,Latino_Hispanic,female
Betto Marque,White_Caucasian,male
Betty Faria,White_Caucasian,female
Betty Goffman,White_Caucasian,female
Betty Gofman,White_Caucasian,female
Betty Lago,Asian,female
Bia Arantes,White_Caucasian,female
Bia Guedes,White_Caucasian,female
Bia Montez,White_Caucasian,female
Bia Mussi,Latino_Hispanic,female
Bia Nunnes,Latino_Hispanic,female
Bia Passos,White_Caucasian,female
Bia Petrenchunk,White_Caucasian,female
Bia Seidl,Latino_Hispanic,female
Bia Sion,Latino_Hispanic,female
Bianca Bin,White_Caucasian,female
Bianca Byington,Latino_Hispanic,female
Bianca Castanho,White_Caucasian,female
Bianca Comparato,White_Caucasian,female
Bianca Muller,White_Caucasian,female
Bianca Muller,White_Caucasian,female
Bianca Rinaldi,White_Caucasian,female
Bianca Salgueiro,White_Caucasian,female
Blaise Musipere,Black_African_descent,male
Branca Previliato,White_Caucasian,male
Brenda Diniz,White_Caucasian,female
Brendha Haddad,Latino_Hispanic,female
Brenno Leone,White_Caucasian,male
Breno Delatorre,White_Caucasian,male
Breno Nina,White_Caucasian,male
Bruce Gomlevsky,White_Caucasian,male
Bruna Aiiso,Latino_Hispanic,female
Bruna di Tullio,White_Caucasian,female
Bruna Faria,Latino_Hispanic,female
Bruna Griphao,White_Caucasian,female
Bruna Hamu,Latino_Hispanic,female
Bruna Inocencio,Latino_Hispanic,female
Bruna Linzmeyer,White_Caucasian,female
Bruna Marquezine,Latino_Hispanic,female
Bruna Spinola,White_Caucasian,female
Brunno Abrahao,Latino_Hispanic,female
Bruno Bevan,White_Caucasian,male
Bruno Bezerra,White_Caucasian,male
Bruno Cariati,Latino_Hispanic,female
Bruno Cariatti,White_Caucasian,female
Bruno Costa,White_Caucasian,male
Bruno Fagundes,Latino_Hispanic,male
Bruno Ferrari,White_Caucasian,male
Bruno Gagliasso,White_Caucasian,male
Bruno Garcia,Latino_Hispanic,male
Bruno Giordano,Latino_Hispanic,male
Bruno Gissoni,Latino_Hispanic,male
Bruno Gradim,White_Caucasian,male
Bruno Mazzeo,Latino_Hispanic,male
Bruno Montaleone,White_Caucasian,male
Bruno Nunes,Latino_Hispanic,male
Bruno Padilha,White_Caucasian,male
Bruno Pereira,White_Caucasian,male
Bruno Perillo,White_Caucasian,male
Bruno Udovic,East_Indian,male
Bukassa Kabengele,Black_African_descent,male
Buza Ferraz,Latino_Hispanic,male
Barbara Borges,White_Caucasian,female
Barbara Maia,White_Caucasian,female
Barbara Paz,White_Caucasian,female
Barbara Reis,East_Indian,female
Cacau Mello,Latino_Hispanic,female
Cacau Melo,Latino_Hispanic,female
Cacau Protasio,Black_African_descent,female
Caco Baresi,Latino_Hispanic,male
Caco Ciocler,White_Caucasian,male
Caca Bueno,Latino_Hispanic,female
Caca Carvalho,Latino_Hispanic,male
Caca Ottoni,White_Caucasian,female
Cadu Libonati,White_Caucasian,male
Cadu Paschoal,Latino_Hispanic,male
Caetano O Maihlan,White_Caucasian,male
Caio Blat,Latino_Hispanic,male
Caio Cabral,Black_African_descent,male
Caio Castro,White_Caucasian,male
Caio Junqueira,White_Caucasian,male
Caio Manhente,White_Caucasian,male
Caio Paduan,White_Caucasian,male
Caio Vaz,White_Caucasian,male
Caio Vydal,White_Caucasian,male
Camila Amado,White_Caucasian,female
Camila Chiba,Asian,female
Camila Lucciola,Black_African_descent,female
Camila Morgado,White_Caucasian,female
Camila Mardila,White_Caucasian,female
Camila Pitanga,Latino_Hispanic,female
Camila Queiroz,Latino_Hispanic,female
Camila Rodrigues,Latino_Hispanic,female
Camilla Carandino,White_Caucasian,male
Camilla Farias,White_Caucasian,female
Camille Hess,Latino_Hispanic,female
Carina Porto,Latino_Hispanic,female
Carl Schumacher,White_Caucasian,male
Carla Andrino,White_Caucasian,female
Carla Cabral,White_Caucasian,female
Carla Cristina Cardoso,Black_African_descent,female
Carla Daniel,Latino_Hispanic,female
Carla Diaz,White_Caucasian,female
Carla Faour,Latino_Hispanic,female
Carla Lamarca,White_Caucasian,female
Carla Marins,Latino_Hispanic,female
Carla Salle,Latino_Hispanic,female
Carlo Porto,Asian,male
Carlos Betao,Latino_Hispanic,male
Carlos Bonow,White_Caucasian,male
Carlos Casagrande,White_Caucasian,male
Carlos Evelyn,Latino_Hispanic,female
Carlos Machado,White_Caucasian,male
Carlos Takeshi,Asian,male
Carlos Vereza,White_Caucasian,male
Carmem Silva,White_Caucasian,female
Carmem Veronica,White_Caucasian,female
Carmen Frenzel,White_Caucasian,female
Carmo Dalla Vecchia,Latino_Hispanic,male
Carol Abras,White_Caucasian,female
Carol Castro,East_Indian,female
Carol Duarte,White_Caucasian,female
Carol Fazu,White_Caucasian,female
Carol Fazu,White_Caucasian,female
Carol Garcia,White_Caucasian,female
Carol Macedo,Latino_Hispanic,female
Carol Machado,Latino_Hispanic,female
Carol Murai,East_Indian,female
Carol Nakamura,Asian,female
Carol Rainato,White_Caucasian,female
Carolina Bezerra,Black_African_descent,female
Carolina Chalita,Latino_Hispanic,female
Carolina Dieckmann,White_Caucasian,female
Carolina Ferman,White_Caucasian,female
Carolina Ferraz,Latino_Hispanic,female
Carolina Kasting,White_Caucasian,female
Carolina Loback,East_Indian,male
Carolina Lopez,White_Caucasian,female
Carolina Macieira,Latino_Hispanic,female
Carolina Magalhaes,East_Indian,female
Carolina Oliveira,East_Indian,female
Carolina Pismel,White_Caucasian,female
Caroline Smith,White_Caucasian,female
Caroline Verban,Latino_Hispanic,female
Carolinie Figueiredo,White_Caucasian,female
Carolyna Aguiar,White_Caucasian,female
Cassiano Carneiro,Latino_Hispanic,male
Cassio Scapin,Latino_Hispanic,male
Catarina Abdala,White_Caucasian,female
Catarina Abdalla,White_Caucasian,female
Catarina de Carvalho,White_Caucasian,female
Caua Antunes,Latino_Hispanic,female
Caua Reymond,White_Caucasian,male
Caue Campos,Black_African_descent,female
Cecil Thire,White_Caucasian,male
Cecilia Dassi,White_Caucasian,female
Celso Bernini,White_Caucasian,male
Celso Frateschi,White_Caucasian,male
Celso Reeks,White_Caucasian,male
Chan Suan,Asian,female
Chandelly Braz,White_Caucasian,female
Chang Soo,White_Caucasian,male
Chao Chen,Asian,male
Chay Suede,White_Caucasian,male
Chico Anysio,Latino_Hispanic,male
Chico Carvalho,White_Caucasian,female
Chico Diaz,White_Caucasian,male
Chico Diaz,White_Caucasian,male
Chico Tenreiro,White_Caucasian,male
Chris Couto,White_Caucasian,female
Christian Villegas,White_Caucasian,male
Christiana Guinle,White_Caucasian,female
Christiana Ubach,White_Caucasian,female
Christiane Torloni,White_Caucasian,female
Christiane Tricerri,Latino_Hispanic,female
Christine Fernandes,White_Caucasian,female
Christovam Netto,Black_African_descent,male
Cibele Larrama,Latino_Hispanic,female
Cida Moreno,White_Caucasian,female
Cida Moreyra,Latino_Hispanic,female
Cinara Leal,Latino_Hispanic,female
Ciro Sales,White_Caucasian,male
Cissa Guimaraes,White_Caucasian,female
Clara Galinari,White_Caucasian,female
Clara Tiezzi,White_Caucasian,female
Clarice Derzie Luz,Latino_Hispanic,female
Clarice Falcao,White_Caucasian,female
Clarice Niskier,White_Caucasian,female
Clarissa Kiste,Latino_Hispanic,female
Clarissa Pinheiro,Latino_Hispanic,female
Clasley Delfino,Latino_Hispanic,male
Claudia di Moura,Black_African_descent,female
Claudia Netto,Latino_Hispanic,female
Claudia Ohana,White_Caucasian,female
Claudia Raia,White_Caucasian,female
Claudio Jaborandy,Latino_Hispanic,male
Claudio Tovar,White_Caucasian,male
Cleide Eunice Queiroz,Black_African_descent,female
Cleiton Morais,Latino_Hispanic,male
Clementino Kale,Black_African_descent,female
Clementino Kele,Black_African_descent,female
Clesley Delfino,Black_African_descent,male
Cleyde Yaconis,White_Caucasian,female
Claudia Abreu,White_Caucasian,female
Claudia Alencar,Latino_Hispanic,female
Claudia Jimenez,White_Caucasian,female
Claudia Mauro,Latino_Hispanic,female
Claudia Mello,Latino_Hispanic,female
Claudia Missura,White_Caucasian,female
Claudia Netto,Latino_Hispanic,female
Claudia Ohana,White_Caucasian,female
Claudia Raia,White_Caucasian,female
Claudio Andrade,Latino_Hispanic,male
Claudio Correia e Castro,Black_African_descent,male
Claudio Correa e Castro,Latino_Hispanic,male
Claudio Fontana,Latino_Hispanic,male
Claudio Gabriel,Latino_Hispanic,male
Claudio Galvan,Latino_Hispanic,male
Claudio Heinrich,White_Caucasian,male
Claudio Jaborandy,Latino_Hispanic,male
Claudio Lins,White_Caucasian,male
Claudio Marzo,White_Caucasian,male
Claudio Mendes,Latino_Hispanic,female
Claudio Tovar,White_Caucasian,male
Clea Simoes,Black_African_descent,female
Conrado Caputto,Latino_Hispanic,male
Cosme dos Santos,Black_African_descent,male
Cridemar Aquino,White_Caucasian,female
Cris Bonna,White_Caucasian,female
Cris Nicolotti,White_Caucasian,female
Cris Vianna,Black_African_descent,female
Cristiana Pompeo,Latino_Hispanic,female
Cristiane Amorim,Latino_Hispanic,female
Cristiano Garcia,Latino_Hispanic,female
Cristiano Ximenes,White_Caucasian,male
Cristina Amadeo,White_Caucasian,female
Cristina Fagundes,Latino_Hispanic,female
Cristina Flores,White_Caucasian,female
Cristina Galvao,Latino_Hispanic,female
Cristina Lago,Latino_Hispanic,female
Cristina Mullins,Latino_Hispanic,female
Cristina Mutarelli,White_Caucasian,female
Cristina Pereira,White_Caucasian,female
Cristina Sano,Asian,female
Cristine Peron,Latino_Hispanic,female
Creo Kellab,Black_African_descent,male
Cynthia Benini,Latino_Hispanic,female
Cynthia Falabella,White_Caucasian,female
Cyria Coentro,White_Caucasian,female
Cassia Kis Magro,Latino_Hispanic,female
Cassia Kis,Latino_Hispanic,female
Cassia Kiss,Latino_Hispanic,female
Cassia Linhares,White_Caucasian,female
Cassio Gabus Mendes,White_Caucasian,male
Cassio Inacio,Latino_Hispanic,female
Cassio Reis,White_Caucasian,male
Cesar Cardadeiro,White_Caucasian,male
Cesar Ferrario,White_Caucasian,male
Cesar Mello,Latino_Hispanic,male
Cintia Dicker,White_Caucasian,female
Dado Dolabella,Latino_Hispanic,male
Daisy Lucidi,Latino_Hispanic,female
Dalton Vigh,White_Caucasian,male
Damian Ramirez Lopez,White_Caucasian,male
Dan Nakagawa,Latino_Hispanic,male
Dan Stulbach,White_Caucasian,male
Dandara Albuquerque,Latino_Hispanic,female
Dandara Mariana,Black_African_descent,female
Dani Barros,White_Caucasian,female
Dani Ornellas,Latino_Hispanic,female
Daniel Blanco,White_Caucasian,male
Daniel Boaventura,White_Caucasian,male
Daniel Dalcin,White_Caucasian,male
Daniel Dantas,White_Caucasian,male
Daniel de Oliveira,White_Caucasian,male
Daniel Erthal,White_Caucasian,male
Daniel Lobo,Latino_Hispanic,female
Daniel Marques,White_Caucasian,male
Daniel Ribeiro,White_Caucasian,male
Daniel Rocha,East_Indian,male
Daniel Torres,White_Caucasian,male
Daniel Warren,Latino_Hispanic,female
Daniel Zettel,White_Caucasian,male
Daniel Zubrinsky,White_Caucasian,male
Daniel Avila,East_Indian,male
Daniela Escobar,Latino_Hispanic,female
Daniela Faria,White_Caucasian,female
Daniela Fontan,Latino_Hispanic,female
Daniela Pessoa,White_Caucasian,female
Daniela Recco,White_Caucasian,male
Daniele Suzuki,Latino_Hispanic,female
Daniele Valente,White_Caucasian,female
Danieli Haloten,White_Caucasian,female
Danielle Winits,Latino_Hispanic,female
Danilo Breton,White_Caucasian,male
Danilo Ferreira,Black_African_descent,male
Danilo Grangheia,White_Caucasian,male
Danilo Mesquita,Asian,male
Danilo Sacramento,White_Caucasian,male
Danni Carlos,White_Caucasian,female
Danton Mello,Latino_Hispanic,male
Darlan Cunha,Asian,male
Davi Queiroz,Asian,male
David Junior,Black_African_descent,male
David Junior,Black_African_descent,male
David Lucas,White_Caucasian,male
David Reis,Black_African_descent,male
Day Mesquita,Black_African_descent,female
Dayse Pozato,White_Caucasian,female
Debby Lagranha,White_Caucasian,female
Deborah Evelyn,White_Caucasian,female
Deborah Kalume,White_Caucasian,female
Deborah Secco,White_Caucasian,female
Delano Avelar,East_Indian,male
Demick Lopes,White_Caucasian,female
Dener Pacheco,Latino_Hispanic,male
Denise Del Vecchio,White_Caucasian,female
Denise Sartori,Latino_Hispanic,female
Denise Weinberg,White_Caucasian,female
Deto Montenegro,White_Caucasian,female
Dhonata Augusto,Latino_Hispanic,male
Dhu Moraes,Black_African_descent,female
Dida Camero,White_Caucasian,female
Diego Cristo,Latino_Hispanic,male
Diego Francisco,Black_African_descent,male
Diego Goncalves,Latino_Hispanic,female
Diego Homci,White_Caucasian,male
Diego Montez,White_Caucasian,male
Dill Costa,East_Indian,male
Diogo Almeida,Asian,male
Diogo Oliveira,Latino_Hispanic,male
Diogo Vilela,White_Caucasian,male
Dira Paes,Asian,female
Diva Pacheco,White_Caucasian,female
Dja Marthins,Latino_Hispanic,female
Domingos Montagner,White_Caucasian,male
Domingos Placido de Alcantara,East_Indian,female
Dora Freind,White_Caucasian,female
Dorgival Junior,White_Caucasian,male
Dorival Carper,White_Caucasian,male
Douglas Moreira,White_Caucasian,male
Douglas Rosa,Asian,male
