Esplendor,Uga-Uga,Laços de Família,O Cravo e a Rosa,Um Anjo Caiu do Céu,Porto dos Milagres,Estrela-Guia,A Padroeira,As Filhas da Mãe,O Clone,Desejos de Mulher,Coração de Estudante,Esperança,O Beijo do Vampiro,Sabor da Paixão,Mulheres Apaixonadas,Agora É que São Elas,Kubanacan,Chocolate com Pimenta,Da Cor do Pecado,Senhora do Destino,Como uma Onda,A Lua Me Disse,Alma Gêmea,Bang Bang,Belíssima,Sinhá Moça,Cobras & Lagartos,Páginas da Vida,O Profeta,Pé na Jaca,Paraíso Tropical,Eterna Magia,Sete Pecados,Duas Caras,Desejo Proibido,Beleza Pura,Ciranda de Pedra,A Favorita,Negócio da China,Caminho das Índias,Paraíso,Caras & Bocas,Viver a Vida,Tempos Modernos,Escrito nas Estrelas,Ti Ti Ti,Araguaia,Insensato Coração,Morde & Assopra,Cordel Encantado,Fina Estampa,A Vida da Gente,Amor Eterno Amor,Avenida Brasil,Cheias de Charme,Lado a Lado,Guerra dos Sexos,Flor do Caribe,Sangue Bom,Amor à Vida,Joia Rara,Além do Horizonte,Em Família,Meu Pedacinho de Chão,Geração Brasil,O Rebu,Império,Boogie Oogie,Alto Astral,Sete Vidas,I Love Paraisópolis,Verdades Secretas,Além do Tempo,A Regra do Jogo,Totalmente Demais,Êta Mundo Bom!,Velho Chico,"Liberdade, Liberdade",Haja Coração,Sol Nascente,A Lei do Amor,Rock Story,Novo Mundo,A Força do Querer,Os Dias Eram Assim,Pega Pega,Tempo de Amar,O Outro Lado do Paraíso,Deus Salve o Rei,Orgulho e Paixão,Onde Nascem os Fortes,Segundo Sol,Espelho da Vida,O Sétimo Guardião,Verão 90,Órfãos da Terra,A Dona do Pedaço,Bom Sucesso,Éramos Seis,Amor de Mãe
Leticia Spiller,Claudio Heinrich,Vera Fischer,Adriana Esteves,Caio Blat,Marcos Palmeira,Sandy,Deborah Secco,Fernanda Montenegro,Giovanna Antonelli,Regina Duarte,Helena Ranaldi,Priscila Fantin,Tarcisio Meira,Leticia Spiller,Christiane Torloni,Debora Falabella,Marcos Pasquim,Mariana Ximenes,Tais Araujo,Susana Vieira,Alinne Moraes,Adriana Esteves,Priscila Fantin,Bruno Garcia,Gloria Pires,Debora Falabella,Mariana Ximenes,Regina Duarte,Thiago Fragoso,Marcos Pasquim,Alessandra Negrini,Maria Flor,Priscila Fantin,Marjorie Estiano,Fernanda Vasconcellos,Regiane Alves,Ana Paula Arosio,Claudia Raia,Jui Huang,Juliana Paes,Nathalia Dill,Flavia Alessandra,Alinne Moraes,Fernanda Vasconcellos,Nathalia Dill,Murilo Benicio,Milena Toscano,Paolla Oliveira,Marcos Pasquim,Bianca Bin,Lilia Cabral,Fernanda Vasconcellos,Gabriel Braga Nunes,Debora Falabella,Leandra Leal,Camila Pitanga,Irene Ravache,Henri Castelli,Marco Pigossi,Paolla Oliveira,Bruno Gagliasso,Juliana Paiva,Julia Lemmertz,Bruna Linzmeyer,Murilo Benicio,Patricia Pillar,Alexandre Nero,Isis Valverde,Sergio Guize,Isabelle Drummond,Bruna Marquezine,Camila Queiroz,Primeira fase,Alexandre Nero,Marina Ruy Barbosa,Sergio Guize,Camila Pitanga,Andreia Horta,Mariana Ximenes,Giovanna Antonelli,Claudia Abreu,Vladimir Brichta,Isabelle Drummond,Juliana Paes,Primeira fase,Mateus Solano,Vitoria Strada,Bianca Bin,Marina Ruy Barbosa,Nathalia Dill,Alice Wegmann,Giovanna Antonelli,Vitoria Strada,Bruno Gagliasso,Isabelle Drummond,Julia Dalavia,Juliana Paes,Grazi Massafera,Gloria Pires,Regina Case
Floriano Peixoto,Nivea Stelmann,Tony Ramos,Eduardo Moscovis,Tarcisio Meira,Flavia Alessandra,Guilherme Fontes,Luigi Baricelli,Raul Cortez,Murilo Benicio,Herson Capri,Fabio Assuncao,Reynaldo Gianecchini,Flavia Alessandra,Luigi Baricelli,Jose Mayer,Paulo Vilhena,Adriano Maroto,Murilo Benicio,Reynaldo Gianecchini,Renata Sorrah,Ricardo Pereira,Wagner Moura,Eduardo Moscovis,Fernanda Lima,Tony Ramos,Danton Mello,Daniel de Oliveira,Lilia Cabral,Paolla Oliveira,Fernanda Lima,Tais Viana / Tais Grimaldi,Malu Mader,Reynaldo Gianecchini,Dalton Vigh,Murilo Rosa,Edson Celulari,Daniel Dantas,Patricia Pillar,Bruna Marquezine,Rodrigo Lombardi,Eriberto Leao,Malvino Salvador,Mateus Solano,Thiago Rodrigues,Valentina Aguillar,Alexandre Borges,Murilo Rosa,Eriberto Leao,Adriana Esteves,Caua Reymond,Christiane Torloni,Marjorie Estiano,Salvador Borges,Adriana Esteves,Isabelle Drummond,Marjorie Estiano,Altamiranda de Fatima de Alcantara Alem Castro,Grazi Massafera,Sophie Charlotte,Malvino Salvador,Bianca Bin,Rodrigo Simas,Gabriel Braga Nunes,Irandhir Santos,Claudia Abreu,Sophie Charlotte,Leandra Leal,Bianca Bin,Nathalia Dill,Jayme Matarazzo,Mauricio Destri,Rodrigo Lombardi,Alinne Moraes,Giovanna Antonelli,Fabio Assuncao,Debora Nascimento,Domingos Montagner,Bruno Ferrari,Malvino Salvador,Bruno Gagliasso,Reynaldo Gianecchini,Nathalia Dill,Chay Suede,Emilio Dantas,Sophie Charlotte,Camila Queiroz,Bruno Cabrerizo,Gloria Pires,Romulo Estrela,Thiago Lacerda,Patricia Pillar,Emilio Dantas,Julia Castelo,Marina Ruy Barbosa,Rafael Vitti,Renato Goes,Agatha Moreira,Antonio Fagundes,Danilo Mesquita,Adriana Esteves
Murilo Benicio,Humberto Martins,Carolina Dieckmann,Drica Moraes,Renata Sorrah,Camila Pitanga,Rodrigo Santoro,Mauricio Mattar,Thiago Lacerda,Diogo,Alessandra Negrini,Adriana Esteves,Ana Paula Arosio,Princesa Cecilia de Alencastro,Marcelo Serrado,Camila Pitanga,Vera Fischer,Leon Maroto,Priscila Fantin,Apolo Sardinha,Carolina Dieckmann,Mel Lisboa,Marcos Pasquim,Flavia Alessandra,Carol Castro,Fernanda Montenegro,Osmar Prado,Carolina Dieckmann,Ana Paula Arosio,Carol Castro,Murilo Benicio,Fabio Assuncao,Thiago Lacerda,Giovanna Antonelli,Alinne Moraes,Daniel de Oliveira,Carolina Ferraz,Tammy Di Calafiori,Mariana Ximenes,Grazi Massafera,Cleo,Cassia Kis,Deborah Evelyn,Jorge,Antonio Fagundes,Jayme Matarazzo,Claudia Raia,Cleo,Gabriel Braga Nunes,Vanessa Giacomo,Bruno Gagliasso,Dalton Vigh,Rafael Cardoso,Leticia Persiles,Caua Reymond,Tais Araujo,Lazaro Ramos,Tony Ramos,Igor Rickli,Fernanda Vasconcellos,Mateus Solano,Carmo Dalla Vecchia,Thiago Rodrigues,Bruna Marquezine,Johnny Massaro,Tais Araujo,Daniel de Oliveira,Rafael Cardoso,Marco Pigossi,Thiago Lacerda,Domingos Montagner,Caio Castro,Drica Moraes,Rafael Cardoso,Vanessa Giacomo,Juliana Paes,Flavia Alessandra,Antonio Fagundes,Nathalia Dill,Joao Baldasserini,Rafael Cardoso,Vera Holtz,Lorena Monteiro,Gabriel Braga Nunes,Rodrigo Lombardi,Renato Goes,Vanessa Giacomo,Bruno Ferrari,Marieta Severo,Bruna Marquezine,Alessandra Negrini,Gabriel Leone,Deborah Secco,Rafael Cardoso,Lilia Cabral,Jesuita Barbosa,Alice Wegmann,Nathalia Dill,Romulo Estrela,Nicolas Prattes,Tais Araujo
Cassia Kis,Viviane Pasmanter,Reynaldo Gianecchini,Leandra Leal,Shirley,Antonio Fagundes,Carolina Ferraz,Patricia Franca,Claudia Raia,Leo,Jose de Abreu,Marcello Antony,Maria Fernanda Candido,Marco Ricca,Arlete Sales,Rodrigo Santoro,Miguel Falabella,Danielle Winits,Elizabeth Savalla,Giovanna Antonelli,Maria do Carmo Ferreira da Silva,Henri Castelli,Zeze Polessa,Ana Lucia Torre,Alinne Moraes,Marcello Antony,Patricia Pillar,Henri Castelli,Thiago Rodrigues,Dalton Vigh,Juliana Paes,Wagner Moura,Cassia Kis,Sidney Sampaio,Debora Falabella,Eva Wilma,Isis Valverde,Max Fercondini,Murilo Benicio,Ricardo Pereira,Debora Bloch,Guilherme Winter,Marcos Pasquim,Tais Araujo,Eliane Giardini,Damian Ramirez Lopez,Juliana Alves,Lima Duarte,Gloria Pires,Mateus Solano,Nathalia Dill,Marcelo Serrado,Ana Beatriz Nogueira,Alice,Murilo Benicio,Claudia Abreu,Thiago Fragoso,Domingos Placido de Alcantara,Sergio Mamberti,Isabelle Drummond,Vanessa Giacomo,Nathalia Dill,Mariana Rios,Luiza,Paula Barbosa,Humberto Carrao,Marcos Palmeira,Andreia Horta,Giulia Gam,Claudia Raia,Debora Bloch,Tata Werneck,Marieta Severo,Paolla Oliveira,Caua Reymond,Felipe Simas,Eriberto Leao,Christiane Torloni,Mateus Solano,Jayme Matarazzo,Laura Cardoso,Jose Mayer,Alinne Moraes,Caio Castro,Paolla Oliveira,Daniel de Oliveira,Thiago Martins,Andreia Horta,Sergio Guize,Ricardo Pereira,Natalia do Vale,Alexandre Nero,Adriana Esteves,Danilo Breton,Marlene Rocha,Claudia Raia,Carmo Dalla Vecchia,Paolla Oliveira,David Junior,Giullia Buscacio,Isis Valverde
Tonia Carrero,Angelo Paes Leme,Luigi Baricelli,Ney Latorraca,Deborah Evelyn,Barbara Borges,Sergio Mamberti,Luis Melo,Claudia Ohana,Reginaldo Faria,Regiane Alves,Paulo Vilhena,Laura Cardoso,Deborah Secco,Claudio Lins,Marcello Antony,Daniel Avila,Werner Schunemann,Fulvio Stefanini,Karina Bacchi,Marcello Antony,Sergio Marone,Isabel Fillardis,Emilio Orciollo Netto,Ricardo Tozzi,Carolina Ferraz,Reginaldo Faria,Carmo Dalla Vecchia,Edson Celulari,Rodrigo Phavanello,Fernanda de Freitas,Vera Holtz,Caua Reymond,Paulo Betti,Susana Vieira,Guilherme Berenguer,Humberto Martins,Bruno Gagliasso,Mauro Mendonca,Juliana Didone,Caio Blat,Manuela do Monte,Henri Castelli,Natalia do Vale,Felipe Camargo,Zeze Polessa,Malu Mader,Laura Cardoso,Bruna Linzmeyer,Cassia Kis,Carmo Dalla Vecchia,Eva Wilma,Maria Eduarda de Carvalho,Luis Melo,Marcos Caruso,Marcos Palmeira,Zezeh Barbosa,Eriberto Leao,Taina Muller,Malu Mader,Danielle Winits,Carolina Dieckmann,Alexandre Borges,Reynaldo Gianecchini,Geytsa Garcia,Felipe Abib,Jose de Abreu,Marina Ruy Barbosa,Jose Loreto,Leopoldo Pacheco,Maria Flor,Nicette Bruno,Eva Wilma,Dani Barros,Jose de Abreu,Carla Salle,Camila Queiroz,Selma Egrei,Ricardo Pereira,Alexandre Borges,Marcelo Faria,Grazi Massafera,Ana Beatriz Nogueira,Cesar Cardadeiro,Maria Fernanda Candido,Marco Ricca,Irene Ravache,Olivia Torres,Juliano Cazarre,Joao Vithor Oliveira,Rodrigo Simas,Enrique Diaz,Fabricio Boliveira,Brigite,Dan Stulbach,Caio Paduan,Paulo Betti,Marco Nanini,Sheron Menezzes,Carol Macedo,Vladimir Brichta
,,,,,,,,,Anja Bittencourt,,,,,,Sylvio Meanda,,,,,Eduardo Fraga,,,,,,,,Thalita Carauta,,,,,Rafael Ciani,Mauricio Goncalves,,,,,,Douglas Silva,,,,,,,,Rogerio Freitas,,,,,,,,,,,Julio Oliveira,Neusa Maria Faro,Max Lima,,,,,,,,,,,,Michel Melamed,,,,,,,,,,,,,,,,,,,,Andrea Bacellar,,,,,,,
Joana Fomm,Marcello Novaes,Marieta Severo,Angelo Antonio,Christiane Torloni,Bartolomeu Guerrero,Thais Fersoza,Mariana Ximenes,Alexandre Borges,Daniela Escobar,Gloria Pires,Carolina Kasting,Nuno Lopes,Alexandre Borges,Cassia Kiss,Helena Ranaldi,Marisa Orth,Adriana Esteves,Caco Ciocler,Guilherme Weber,Jose Wilker,Maria Fernanda Candido,Natalia Lage,Alexandre Barillari,Guilherme Berenguer,Claudia Abreu,Bruno Gagliasso,Tais Araujo,Fernanda Vasconcellos,Fernanda Souza,Deborah Secco,Camila Pitanga,Anna Rita Cerqueira,Claudia Raia,Lazaro Ramos,Leticia Sabatella,Marcelo Faria,Marcello Antony,Carmo Dalla Vecchia,Anderson Lau,Caco Ciocler,Vanessa Giacomo,Ingrid Guimaraes,Jose Mayer,Priscila Fantin,Humberto Martins,Isis Valverde,Thiago Fragoso,Deborah Secco,Flavia Alessandra,Jayme Matarazzo,Jose Mayer,Jesuela Moro,Cassia Kis,Marcello Novaes,Ricardo Tozzi,Patricia Pillar,Mariana Ximenes,Dudu Azevedo,Humberto Carrao,Juliano Cazarre,Rafael Cardoso,Christiana Ubach,Humberto Martins,Juliana Paes,Chandelly Braz,Dira Paes,Lilia Cabral,Marco Ricca,Debora Nascimento,Ghilherme Lobo,Maria Casadevall,Reynaldo Gianecchini,Irene Ravache,Marco Pigossi,Humberto Martins,Bianca Bin,Marcelo Serrado,Dalton Vigh,Agatha Moreira,Henri Castelli,Alice Wegmann,Rafael Vitti,Leticia Colin,Marco Pigossi,Gabriel Leone,Mariana Santos,Jayme Matarazzo,Thiago Fragoso,Johnny Massaro,Mauricio Destri,Fabio Assuncao,Vladimir Brichta,Joao Vicente de Castro,Tony Ramos,Dira Paes,Anaju Dorigon,Sergio Guize,Armando Babaioff,Andre Luiz Frambach,Humberto Carrao
Gracindo Junior,Mariana Ximenes,Jose Mayer,Rodrigo Faro,Jose Wilker,Cassia Kis,Thiago Fragoso,Rodrigo Faro,Andrea Beltrao,Dalton Vigh,Eduardo Moscovis,Bruno Garcia,Oscar Magrini,Claudia Raia,Edson Celulari,Dan Stulbach,Thiago Fragoso,Carolina Ferraz,Tarcisio Filho,Alinne Moraes,Jose Mayer,Kadu Moliterno,Paulo Vilhena,Drica Moraes,Mauro Mendonca,Camila Pitanga,Isis Valverde,Lazaro Ramos,Marcos Caruso,Juliana Didone,Flavia Alessandra,Bruno Gagliasso,Eliane Giardini,Gabriela Duarte,Stenio Garcia,Alexandre Borges,Carol Castro,Ana Beatriz Nogueira,Caua Reymond,Fernanda Rodrigues,Alexandre Borges,Alexandre Nero,Isabelle Drummond,Lilia Cabral,Marcos Caruso,Pedro Cassiano Aguillar,Caio Castro,Julia Lemmertz,Camila Pitanga,Naomi Robo,Debora Bloch,Carolina Dieckmann,Thiago Lacerda,Carmo Dalla Vecchia,Vera Holtz,Inacio Paixao / Rajao,Cassio Gabus Mendes,Reynaldo Gianecchini,Thaissa Carvalho,Jayme Matarazzo,Antonio Fagundes,Jose de Abreu,Antonio Calloni,Vivianne Pasmanter,Osmar Prado,Isabelle Drummond,Tony Ramos,Drica Moraes,Alessandra Negrini,Christiane Torloni,Michel Noher,Leticia Spiller,Grazi Massafera,Ana Beatriz Nogueira,Bruna Linzmeyer,Vivianne Pasmanter,Rainer Cadete,Lucy Alves,Lilia Cabral,Fernanda Vasconcellos,Giovanna Lancellotti,Humberto Carrao,Joao Vicente de Castro,Agatha Moreira,Isis Valverde,Antonio Calloni,Marcelo Serrado,Henri Castelli,Rafael Cardoso,Tata Werneck,Pamela Tome,Debora Bloch,Leticia Colin,"Gustavo Bruno de Luris, Marques de Torga",Eduardo Moscovis,Totia Meireles,Kaysar Dadour,Lee Taylor,Fabiula Nascimento,Cassio Gabus Mendes,Chay Suede
Caio Blat,Marcos Pasquim,Deborah Secco,Luis Melo,Debora Falabella,Luiza Tome,Fernanda Rodrigues,Murilo Rosa,Bete Coelho,Debora Falabella,Cassio Gabus Mendes,Vladimir Brichta,Gabriela Duarte,Julia Lemmertz,Carolina Ferraz,Carolina Dieckmann,Mauricio Mattar,Vladimir Brichta,Drica Moraes,Lima Duarte,Leandra Leal,Herson Capri,Monique Alfradique,Malvino Salvador,Giulia Gam,Leopoldo Pacheco,Eriberto Leao,Marilia Pera,Jose Mayer,Daniel Avila,Bruno Garcia,Tony Ramos,Werner Schunemann,Marcello Novaes,Marilia Pera,Jose de Abreu,Bruno Mazzeo,Ariela Massotti,Thiago Rodrigues,Rodrigo Mendonca,Leticia Sabatella,Fernanda Paes Leme,Miguel Romulo,Giovanna Antonelli,Vivianne Pasmanter,Debora Falabella,Guilherme Winter,Raphael Viana,Lazaro Ramos,Carla Marins,Domingos Montagner,Malvino Salvador,Nicette Bruno,Leoncio,Jose de Abreu,Humberto Carrao,Alessandra Negrini,Gloria Pires,Sthefany Brito,Giulia Gam,Susana Vieira,Thiago Lacerda,Alexandre Nero,Giovanna Antonelli,Antonio Fagundes,Dudu Azevedo,Bel Kowarick,Marjorie Estiano,Heloisa Perisse,Edson Celulari,Thiago Rodrigues,Henri Castelli,Agatha Moreira,Felipe Camargo,Carolina Dieckmann,Daniel Rocha,Eliane Giardini,Dira Paes,Zeze Polessa,Tata Werneck,Maria Joana,Isabella Santoni,Caio Paduan,Ingrid Guimaraes,Fiuk,Cassia Kis Magro,Nanda Costa,Marisa Orth,Fernanda Montenegro,Bia Arantes,Gabriela Duarte,Jesuita Barbosa,Chay Suede,Alinne Moraes,Leon,Camila Queiroz,Danton Mello,Marcos Palmeira,Lucio Mauro Filho,Simone Spoladore,Irandhir Santos
Christine Fernandes,Danielle Winits,Lilia Cabral,Suely Franco,Henri Castelli,Leonardo Bricio,Sergio Marone,Elizabeth Savalla,Regina Case,Marcello Novaes,Deborah Evelyn,Claudio Marzo,Chico Carvalho,Kayky Brito,Liliana Castro,Erik Marmo,Francisca Queiroz,Humberto Martins,Marcello Novaes,Rosi Campos,Eduardo Moscovis,Mayte Piragibe,Debora Bloch,Luigi Baricelli,Fernanda de Freitas,Claudia Raia,Vanessa Giacomo,Herson Capri,Vivianne Pasmanter,Samara Felippo,Betty Lago,Gloria Pires,Irene Ravache,Samara Felippo,Antonio Fagundes,Pedro Neschling,Christiane Torloni,Anna Sophia Folch,Ary Fontoura,Thiago Fragoso,Marcio Garcia,Lucci Ferreira,Julio Rocha,Thiago Lacerda,Regiane Alves,Alexandre Nero,Guilhermina Guinle,Suzana Pires,Antonio Fagundes,Marina Ruy Barbosa,Mauricio Destri,Caio Castro,Paulo Betti,Mayana Neiva,Heloisa Perisse,Jonatas Faro,Rafael Cardoso,Edson Celulari,Thiago Martins,Herson Capri,Thiago Fragoso,Luiza Valdetaro,Carolina Ferraz,Taina Muller,Rodrigo Lombardi,Ricardo Tozzi,Jesuita Barbosa,Caio Blat,Daniel Dantas,Silvia Pfeifer,Maria Eduarda de Carvalho,Caroline Abras,Gabriel Leone,Emilio Dantas,Susana Vieira,Juliana Paiva,Marco Nanini,Lee Taylor,Marco Ricca,Gabriel Godoy,Leticia Spiller,Thiago Lacerda,Nicolas Prattes,Vivianne Pasmanter,Carol Duarte,Natalia do Vale,Joao Baldasserini,Tony Ramos,Lima Duarte,Marina Moschen,Marcelo Faria,Carla Salle,Danilo Mesquita,Isadora Monteiro,Marcello Novaes,Humberto Martins,Emanuelle Araujo,Reynaldo Gianecchini,Ingrid Guimaraes,Ricardo Pereira,Juliano Cazarre
